Statistical profiling result from isolate-0x62390c0-28165-v8.log, (22971 ticks, 161 unaccounted, 0 excluded).

 [Summary]:
   ticks  total  nonlib   name
      5    0.0%    0.1%  LazyCompile: *_finish _http_server.js:176:52
      5    0.0%    0.1%  LazyCompile: *EventEmitter.init events.js:122:29
      5    0.0%    0.1%  LazyCompile: *<anonymous> /home/post/projects/osprey-profiling/app/node_modules/compose-middleware/lib/index.js:15:21
      4    0.0%    0.0%  RegExp: (?:^|\W)chunked(?:$|\W)
      4    0.0%    0.0%  LazyCompile: *undestroy internal/streams/destroy.js:87:19
      4    0.0%    0.0%  LazyCompile: *module.exports /home/post/projects/osprey-profiling/app/node_modules/qs/lib/parse.js:222:27
      4    0.0%    0.0%  LazyCompile: *hidden internal/errors.js:251:25
      4    0.0%    0.0%  LazyCompile: *debug /home/post/projects/osprey-profiling/app/node_modules/router/node_modules/debug/src/common.js:66:19
      4    0.0%    0.0%  LazyCompile: *arrayClone events.js:596:20
      4    0.0%    0.0%  LazyCompile: *_unrefTimer net.js:387:52
      4    0.0%    0.0%  LazyCompile: *_onceWrap events.js:416:19
      4    0.0%    0.0%  LazyCompile: *Readable.removeAllListeners _stream_readable.js:945:49
      3    0.0%    0.0%  RegExp: ^text\/|^application\/(javascript|json)
      3    0.0%    0.0%  LazyCompile: *onceWrapper events.js:406:21
      3    0.0%    0.0%  LazyCompile: *onSocketResume _http_server.js:792:24
      3    0.0%    0.0%  LazyCompile: *listenerCount events.js:576:23
      3    0.0%    0.0%  LazyCompile: *getProtohost /home/post/projects/osprey-profiling/app/node_modules/express/lib/router/index.js:535:22
      3    0.0%    0.0%  LazyCompile: *getHeader _http_outgoing.js:548:57
      3    0.0%    0.0%  LazyCompile: *format /home/post/projects/osprey-profiling/app/node_modules/content-type/index.js:65:17
      3    0.0%    0.0%  LazyCompile: *afterWriteDispatched internal/stream_base_commons.js:149:30
      3    0.0%    0.0%  LazyCompile: *addCatch events.js:146:18
      2    0.0%    0.0%  RegExp: ^\/entry(?:\/(?=$))?$
      2    0.0%    0.0%  RegExp: ^\/api(?:\/(?=$))?$
      2    0.0%    0.0%  RegExp: (\[[^[\]]*]) {1}
      2    0.0%    0.0%  LazyCompile: *validateString internal/validators.js:116:24
